auta;spnd;numa
Umbreit, Friedrich Wilhelm Karl;42192;9/433
Blomberg, Wilhelm Karl Georg von;43160;9/434 9/983
Ziegesar, Luise Amalie Friederike Auguste von;45830;9/442
Reisig, Christian Karl;44917;9/446 9/1450
Schinkel, Karl Friedrich;41156;9/447 9/465 9/553 9/1060 9/1079
Bergius, Auguste Emilie Charlotte;43103;9/448 9/524 9/633
Eckhardt, Emilie Henriette Rosamunde Karoline Friederike Luise;43767;9/453
Grosse, Karl Friedrich August;43847;9/473 9/563 9/680
Meyer, Klemens August;44573;9/488
Benckher, Maria Elisabeth;46898;9/491 9/549
Richter, Gustav;51631;9/494 9/775
Mazelet, Jeanne Marie Jaqueline Antoinette;39495;9/496
Breitkopf & Härtel;36045;9/497 9/723
Ziegesar, Anton von;42892;9/506
Byron, George Gordon;36218;9/513 9/988
Rhesa, Ludwig Jedemin;49970;9/514
Both, Karl Friedrich von;35960;9/516 9/620 9/845 9/1040 9/1592
Böhringer, August;35868;9/522 9/725 9/981
Voigt, Johann Heinrich;42359;9/532 9/820
Nicolovius, Georg Heinrich Franz;44681;9/535
Stieglitz, Christian Ludwig;41795;9/536
Potsdam, Deputation der Märkischen Ökonomischen Gesellschaft zu (Unterzeichner: Gustav von Brenn, Friedrich Ludwig Augustin, Ludwig Albrecht Bosselmann, Elias Daniel Hitzig, Karl Christian Horvath, Karl Jahn, Karl Friedrich Klöden, Isaak Lehweß, Samuel Friedrich Polchow, Heinrich Karl Philipp Schmidt, Karl Emanuel Schroeder, Johann Gottlob Schulze, Johann Karl Ludwig Schulze, Wilhelm Sello und Wilhelm von Türk);40417;9/545
Brenn, ^#s+Gustav^#s- Adolf Ewald von (1772-1838);43244;9/545
Augustin, Friedrich Ludwig (1776-1854);35383;9/545
Bosselmann, Christian ^#s+Ludwig^#s- ^#s+Albrecht^#s- (1763-1831);45979;9/545
Hitzig, Elias Daniel (bis 1808: Itzig) (1755-1818);38135;9/545
Horvath, Karl Christian (1752-1837);38240;9/545
Jahn, ^#s+Karl^#s- Johann Gottlieb August (gest. nach 1836);47008;9/545
Klöden, Karl Friedrich (seit: 1853:) von (1786-1856);38663;9/545
Lehweß (Lehwes), Isaak ( (1758-1836);47048;9/545
Polchow, Samuel Friedrich (um 1761-1826);47113;9/545
Schmidt, Heinrich Karl Philipp (gest. 1861);47157;9/545
Schroeder, Karl Emanuel (1754-1832);41337;9/545
Schulze, Johann Gottlob (1755-1834);41408;9/545
Schulze, Johann Karl Ludwig (um 1786-1826);47171;9/545
Sello, Johann Wilhelm (1753/56-1822);41519;9/545
Türk, Karl Christian ^#s+Wilhelm^#s- von (1774-1846);45555;9/545
Gräve, Heinrich Gottlob;43811;9/546 9/668
Sauerländer, Johann David;50457;9/547 9/1002
Milarch, August Alexander Ferdinand;44581;9/552 9/818
Heß, David;50519;9/554 9/676
Alton, Eduard Joseph d';42969;9/555 9/600 9/1164 9/1469 9/1568
Blumenthal, Adolf Oswald;46913;9/557
Beulwitz, Heinrich Emil Friedrich August von ;43131;9/564
Compter, Johann David Gottlob;36431;9/565
Kannegießer, Karl Friedrich Ludwig;44180;9/568
Helbig, Karl Emil;37957;9/569
Küchelbecker, Wilhelm Karlowitsch;51179;9/575
Müller, Johann Ludwig Wilhelm;44623;9/576
Arnim, Achim von;43002;9/584
Gerhard, Christoph Wilhelm Leonhard;43727;9/586 9/601
Blumenbach, Johann Friedrich;35825;9/591 9/652 9/659
Egidy, Heinrich August von;43532;9/602
Knoll, David Sebastian;51053;9/604 9/730 9/803 9/828 9/968 9/1161
Seeger, Johann Georg Christian;51677;9/606
Posselt, Johannes Friedrich;40411;9/608 9/1381
Kölle, Christoph Friedrich Karl;44253;9/612
Röhr, Johann Friedrich;40778;9/613 9/1241
Dawe, Mary Margaret;36587;9/622
Schwabe, Christian Wilhelm Lorenz;41423;9/629 9/1318 9/1340
Spiegel von und zu Pickelsheim, Wilhelmine Emilie;45363;9/632
Wenzel, Johann Friedrich;52048;9/636
Sachsen-Weimar-Eisenach, Luise Augusta Großherzogin von;45046;9/638 9/860 9/861 9/896 9/1432
Lieber, Karl Wilhelm;44394;9/639
Seebeck, Thomas Johann;45316;9/642 9/924
Förster, Friedrich Christoph;43651;9/644 9/1157 9/1407 9/1455
Artaria & Fontaine;35360;9/649
Wangenheim, Karl August von;45661;9/651
Schmeißer, Johann August ;51866;9/654
Hoff, Karl Ernst Adolf von;44053;9/655 9/1470
Schlözer, Karl von;49215;9/656 9/1462
Wesselhöft, Johann Karl;42632;9/661 9/804 9/819 9/827 9/834 9/839 9/870 9/922 9/1282 9/1324 9/1327 9/1468
Manzoni, Alessandro Francesco Tommaso;50511;9/673 9/1536
Müglich, Johann Karl August Gregor;51346;9/687
Könneritz, Hans Heinrich von;44258;9/689
Große, Johann Ernst Christian Ludwig;43846;9/691 9/692 9/1520
Bartholomäi, Karl Heinrich Friedrich;43046;9/697 9/729
Kruse, Friedrich Karl Hermann;50888;9/698 9/1508
Rossetti, Domenico von;50612;9/704
Hegel, Georg Wilhelm Friedrich;37929;9/705 9/935 9/1482
Bouginé, Karl Friedrich;35967;9/707
Stein, Charlotte Albertine Ernestine von;45394;9/710
Tischbein, Johann Heinrich Wilhelm;45522;9/711 9/806 9/885 9/979 9/1196
Gaal, Georg von;50420;9/712
Freyberg-Eisenberg, Maximilian Prokop von;43673;9/713 9/1173
Bethmann-Hollweg, Susanne Elisabeth;35729;9/714
Regensburg, Bayerische Botanische Gesellschaft in (Unterzeichner: David Heinrich Hoppe und Christian Heinrich Oppermann);51142;9/720
Hoppe, David Heinrich;38223;9/720
Oppermann, Christian Heinrich;49327;9/720
Neuburg, Johann Georg;39955;9/722
Pictet, Amédée Pierre Jules;51418;9/724 9/1151
Zauper, Joseph Stanislaus;50158;9/728 9/767 9/863 9/947 9/952 9/1279 9/1323 9/1440 9/1464 9/1467 9/1610
Lupin, Friedrich von;39311;9/737
Perthes, Friedrich Christoph;44788;9/741 9/917 9/1252 9/1372
Robinson, Henry Crabb;40757;9/742
Nagler, Karl Ferdinand Friedrich;39910;9/746
Frommann & Wesselhöft;46157;9/749
Platen, August Graf von;40355;9/750
Rhode, Johann Gottlieb;40683;9/752 9/1159
Klein, Karl Friedrich;38620;9/753
Frommann, Johanna Charlotte;43690;9/760 9/789 9/1066 9/1070
Humboldt, Alexander von;44096;9/761
Marienbad, Brunneninspektion in (Unterzeichner: Wendelin Gradl);63820;9/762 9/1426
Gradl (Gradel), Johann ^#s+Wendelin^#s- (1788-1825);37583;9/762 9/1426
Schlosser, Sophie Johanna;45165;9/764 9/1288
Brockmüller, Johann Joachim Daniel;36079;9/765 9/993 9/1268
Caspers, Franziska Johanna;43337;9/771
Keferstein, Christian;51001;9/777 9/894 9/987
Mylius, Heinrich;39901;9/778
Wiebeking, Karl Friedrich von;42667;9/780 9/1368 9/1422
Cramers Erben, Andreas;49265;9/782 9/783
Kaufmann, Johann Heinrich;50983;9/784
Kind, Karl Theodor;51006;9/798
Voß, Johann Heinrich (d. J.);45625;9/799 9/928 9/1174 9/1307 9/1416
Bredt, Otto Albert;45989;9/801
Humboldt, Wilhelm von;44093;9/807 9/883 9/1139 9/1276
Gall, Franz Alois;50409;9/808
Sachsen-Weimar-Eisenach, Karl Friedrich Erbgroßherzog von;40966;9/812 9/1186
Immermann, Karl Leberecht;49411;9/813 9/1332 9/1395
Biedenfeld, Ferdinand Leopold Karl von;43142;9/816
Fritsch, Karl Wilhelm von;37232;9/825 9/879 9/1484 9/1582
Odeleben, Ernst Gottfried von;40029;9/826 9/852 9/869 9/938
Giesecke, Karl Ludwig;43751;9/832
Jäger, Georg Friedrich;38370;9/841
Mattoni, Andreas Vinzenz Heinrich Peter;39472;9/850
Autenrieth, Hermann Friedrich;35392;9/851
Lancken, Christoph Dietrich Gustav von der;51266;9/854
Sprengel, Gustav;51739;9/855
Mahr, Johann Heinrich Christian;44480;9/858 9/899 9/1240 9/1256 9/1272 9/1339
Athenstädt;45898;9/864
Gillies, Robert Pearse;50144;9/865
Burdach, Karl Friedrich;36183;9/871
Körner, Christian Gottfried;38740;9/872
Bülow, Ludwig Friedrich Viktor Hans Graf von;43296;9/873
Ludecus, Johann Wilhelm Karl;44462;9/880
Ziegler, Friedrich Julius Wilhelm;45833;9/884
Peters, Karl Friedrich;40250;9/888 9/912
Fischer, Karl Gottlieb;43633;9/890
Mittler, Johann Georg;51230;9/895
Hartknoch, Karl Eduard;50536;9/905
Coudray, Klemens Wenzeslaus;36473;9/906
Roux, Jakob Wilhelm Christian;44984;9/908
Winter, Christian Friedrich;42728;9/910
Cottasche Buchhandlung;46039;9/916 9/1110
Schöne, Karl Christian Ludwig;51200;9/919 9/1038 9/1569
Seidler, Karoline Sophie Luise;45320;9/930
Roederer, G. S. (? G. F. oder J. S.);51721;9/931
Schmidt, Friedrich Ludwig;41228;9/932
Beulwitz, Friedrich Wilhelm Ludwig von;35737;9/942
Hundeshagen, Helfrich Bernhard;44102;9/944 9/1187 9/1261 9/1598
Meynier, Ludwig Friedrich Wilhelm;51410;9/945
Löffelholz von Colberg, Anna Elisabeth Sophie;51302;9/948
Weimar, Landes-Industrie-Comptoir in;42549;9/949
