id|aufgabe02|aufgabe03
47008|Jahn, #s+Karl#s- Johann Gottlieb August (gest. nach 1836)|brf-
38663|Klöden, Karl Friedrich (seit: 1853:) von (1786-1856)
47048|Lehweß (Lehwes), Isaak ( (1758-1836)|brf-
47113|Polchow, Samuel Friedrich (um 1761-1826)|brf-
47157|Schmidt, Heinrich Karl Philipp (gest. 1861)|brf-
41337|Schroeder, Karl Emanuel (1754-1832)|brf-
41408|Schulze, Johann Gottlob (1755-1834)|brf-
47171|Schulze, Johann Karl Ludwig (um 1786-1826)|brf-
41519|Sello, Johann Wilhelm (1753/56-1822)|brf-
45555|Türk, Karl Christian #s+Wilhelm#s- von (1774-1846)|brf-
43811|Gräve, Heinrich Gottlob|Gräve, #1+Heinrich#1- Gottlob (1772-1847) 
50457|Sauerländer, Johann David
44581|Milarch, August Alexander Ferdinand
50519|Heß, David|Heß, David (1770-1843) 
42969|Alton, Eduard Joseph d'|Alton, #1+Eduard#1- Joseph d' (1772-1840) 
46913|Blumenthal, Adolf Oswald|Blumenthal, Adolf #1+Oswald#1- (1802-1870) 
43131|Beulwitz, Heinrich Emil Friedrich August von |Beulwitz, Heinrich Emil #1+Friedrich#1- #1+August#1- von (1785-1871) 
36431|Compter, Johann David Gottlob|David ^%^%Compter
44180|Kannegießer, Karl Friedrich Ludwig|Kannegießer, #1+Karl#1- Friedrich #1+Ludwig#1- (1781-1861) 
37957|Helbig, Karl Emil|Helbig, Karl Emil (1777-1855) 
51179|Küchelbecker, Wilhelm Karlowitsch
44623|Müller, Johann Ludwig Wilhelm
43002|Arnim, Achim von|Arnim, Karl Joachim (#1+Achim#1-) Friedrich Ludwig von (1781-1831) 
43727|Gerhard, Christoph Wilhelm Leonhard|Gerhard, Christoph #1+Wilhelm#1- Leonhard (Wilhelm Christoph Leonhard) (1780-1858) 
35825|Blumenbach, Johann Friedrich|Blumenbach, Johann Friedrich (1752-1840) 
43532|Egidy, Heinrich August von|Egidy, Heinrich #1+August#1- von (1778-1840) 
51053|Knoll, David Sebastian|Knoll, #1+David#1- Sebastian (1782-1868) 
51677|Seeger, Johann Georg Christian
40411|Posselt, Johannes Friedrich|Posselt, Johannes Friedrich (1794-1823) 
44253|Kölle, Christoph Friedrich Karl
40778|Röhr, Johann Friedrich|Röhr, Johann Friedrich (1777-1848) 
36587|Dawe, Mary Margaret|Mary ^%^%Dawe
41423|Schwabe, Christian Wilhelm Lorenz|Schwabe (eigentl. Engau, genannt oder adopt. S.), Christian Wilhelm Lorenz (auch Johann bzw. Karl genannt) (1798-1829) 
45363|Spiegel von und zu Pickelsheim, Wilhelmine Emilie
52048|Wenzel, Johann Friedrich|Wenzel (Wentzel), Johann #1+Friedrich#1- (1792-1845) 
45046|Sachsen-Weimar-Eisenach, Luise Augusta Großherzogin von|Sachsen-Weimar-Eisenach, #1+Luise#1- Augusta Großherzogin von, geb. Prinzessin von Hessen-Darmstadt (1757-1830) 
44394|Lieber, Karl Wilhelm|Lieber, #1+Karl#1- Wilhelm (1791-1861) 
45316|Seebeck, Thomas Johann|Seebeck, #1+Thomas#1- Johann (1770-1831) 
43651|Förster, Friedrich Christoph
35360|Artaria & Fontaine|Artaria & Fontaine 
45661|Wangenheim, Karl August von
51866|Schmeißer, Johann August |Schmeißer, Johann #1+August#1- Abraham (1801-1882) 
44053|Hoff, Karl Ernst Adolf von|Hoff, #1+Karl#1- Ernst Adolf von (1771-1837) 
49215|Schlözer, Karl von|Schlözer, Karl (seit 1804:) von (1780-1859) 
42632|Wesselhöft, Johann Karl|Wesselhöft, Johann Karl (1767-1847) 
50511|Manzoni, Alessandro Francesco Tommaso|Manzoni, #1+Alessandro#1- Francesco Tommaso (1785-1873) 
51346|Müglich, Johann Karl August Gregor|Müglich, Johann #1+Karl#1- August Gregor (1793-1862) 
44258|Könneritz, Hans Heinrich von|Könneritz, #1+Hans#1- Heinrich (seit 1852:) Graf von (1790-1863) 
43846|Große, Johann Ernst Christian Ludwig|Große (Grosse), Johann #1+Ernst#1- Christian Ludwig (Ernst Ludwig) (1802-1871) 
43046|Bartholomäi, Karl Heinrich Friedrich|Karl ^%^%Bartholomäi
50888|Kruse, Friedrich Karl Hermann
50612|Rossetti, Domenico von
37929|Hegel, Georg Wilhelm Friedrich|Hegel, Georg Wilhelm Friedrich (1770-1831) 
35967|Bouginé, Karl Friedrich|Karl Friedrich ^%^%Bouginé
45394|Stein, Charlotte Albertine Ernestine von|Stein (S.-Kochberg), #1+Charlotte#1- Albertine (Bernhardina) Ernestine von, geb. von Schardt (1742-1827) 
45522|Tischbein, Johann Heinrich Wilhelm|Tischbein, Johann Heinrich #1+Wilhelm#1- (1751-1829) 
50420|Gaal, Georg von
43673|Freyberg-Eisenberg, Maximilian Prokop von
35729|Bethmann-Hollweg, Susanne Elisabeth|Bethmann-Hollweg, #1+Susanne#1- Elisabeth, geb. Bethmann (1763-1831) 
51142|Regensburg, Bayerische Botanische Gesellschaft in (Unterzeichner: David Heinrich Hoppe und Christian Heinrich Oppermann)
38223|Hoppe, David Heinrich
49327|Oppermann, Christian Heinrich|brf-
39955|Neuburg, Johann Georg|Neuburg, Johann Georg (bis 1791: Simon N.) (1757-1830) 
51418|Pictet, Amédée Pierre Jules
50158|Zauper, Joseph Stanislaus|Zauper, Joseph Stanislaus (Ordensname: Stanislaus; eigentl. Joseph Franz Z.) (1784-1850) 
39311|Lupin, Friedrich von
44788|Perthes, Friedrich Christoph|Perthes, #1+Friedrich#1- Christoph (1772-1843) 
40757|Robinson, Henry Crabb|Robinson, Henry Crabb (1775-1867) 
39910|Nagler, Karl Ferdinand Friedrich|Nagler, Karl Ferdinand Friedrich (seit 1823:) von (1770-1846) 
46157|Frommann & Wesselhöft
40355|Platen, August Graf von|Platen (P.-Hallermünde, P.-Hallermund), Karl #1+August#1- Georg Maximilian Graf von (1796-1835) 
40683|Rhode, Johann Gottlieb|Rhode, Johann Gottlieb (1762-1827) 
38620|Klein, Karl Friedrich|Klein, Karl Friedrich (eigentl. Johann Karl Sebastian K.) (1779-1830) 
43690|Frommann, Johanna Charlotte|Frommann, #1+Johanna#1- Charlotte, geb. Wesselhöft (1765-1830) 
44096|Humboldt, Alexander von|Humboldt, Friedrich Wilhelm Heinrich #1+Alexander#1- von (1769-1859) 
63820|Marienbad, Brunneninspektion in (Unterzeichner: Wendelin Gradl)
37583|Gradl (Gradel), Johann #s+Wendelin#s- (1788-1825)|Gradl (Gradel), Johann #1+Wendelin#1- (1788-1825) 
45165|Schlosser, Sophie Johanna
36079|Brockmüller, Johann Joachim Daniel|Brockmüller, Johann Joachim Daniel (1781-1826) 
43337|Caspers, Franziska Johanna|Fanny ^%^%Caspers
51001|Keferstein, Christian|Keferstein, Christian (1784-1866) 
39901|Mylius, Heinrich|Mylius, Heinrich (Enrico) (1769-1854) 
42667|Wiebeking, Karl Friedrich von|Wiebeking, Georg Heinrich #1+Karl#1- Christian #1+Friedrich#1- (seit 1808:) von (1762-1842) 
49265|Cramers Erben, Andreas|^%^%Cramers Erben
50983|Kaufmann, Johann Heinrich
51006|Kind, Karl Theodor
